dataset,method,seed,retention,selection_rule,original_dim,selected_dim,reduction_pct,original_accuracy,selected_accuracy,accuracy_delta_pct_points,original_f1,selected_f1,f1_delta_pct_points,total_time_sec,selected_features,matched_target_dim,valid_path_count,feature_perturb_time_sec,graph_time_sec,recovery_time_sec,run_dataset,experiment_setting
BrainMethod,MI,2,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9265789307978087,0.9212266230086267,-0.5352307789182054,0.8836429218687021,0.8710905475059865,-1.2552374362715613,119.54489520192146,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,MI,3,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9194635098545432,0.9245009760090674,0.5037466154524273,0.8733913279344723,0.8765757483802743,0.31844204458020275,137.82814406603575,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,MI,4,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9350796549335684,0.9202820981046533,-1.4797556828915037,0.8974500162252376,0.873602446204794,-2.3847570020443576,142.16301587969065,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,CHI,0,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9323090485485801,0.9281531389710975,-0.4155909577482575,0.8929960982795682,0.8833521219744431,-0.9643976305125035,202.21381156146526,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,CHI,1,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9341351300295951,0.9200931931238587,-1.4041936905736407,0.8971055763084639,0.8734717219315151,-2.363385437694876,138.35123367607594,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,CHI,2,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9265789307978087,0.9272086140671242,0.06296832693154508,0.8836429218687021,0.8802164003303281,-0.3426521538373972,151.61968808621168,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,CHI,3,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9194635098545432,0.9255084692399723,0.604495938542915,0.8733913279344723,0.8779092002127254,0.45178722782531766,167.72172474116087,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,CHI,4,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9350796549335684,0.9200302247969272,-1.5049430136641173,0.8974500162252376,0.8731106712090516,-2.4339345016185954,191.0778959840536,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,RFE,0,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9323090485485801,0.936276053145268,0.3967004596687862,0.8929960982795682,0.8966579824137964,0.3661884134228188,147.91354505717754,ALD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP,,,,,,,
BrainMethod,RFE,1,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9341351300295951,0.9193375732006801,-1.4797556828915037,0.8971055763084639,0.8765998247769473,-2.050575153151657,248.5092699304223,ALD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP,,,,,,,
